listing_id,title,model_family,generation_number,is_pro,storage_gb_numeric,storage_category,storage_options_gb,storage_flag_corrected,condition,condition_group,price,price_bucket,price_per_gb,wasPrice,price_discount_pct,has_discount,available,available_disclosed,sold,sold_disclosed,seller,itemLocation,us_state,lastUpdated,date_disclosed,is_bundle_listing,is_suspicious_price,location,iphone_type,generation_group,market_density,price_gap,top_seller_dominance
344,iPhone 17,iPhone 17,17,False,,Tidak Diketahui,,False,New,Second-hand,800.0,$600-899,,,,False,0.0,False,0.0,False,Seller 311,"Phoenix, Arizona, United States",AZ,,False,False,False,AZ,Standard,Modern (14+),8,1000.99,7.857142857142857
345,Apple iPhone 12 Pro Max 256GB Factory Unlocked Graphite (Bad Wide Camera) #23495,iPhone 12 Pro Max,12,True,256.0,256GB,256GB,False,Used,Second-hand,299.99,$200-399,1.1718359375,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Mid-Gen (12-13),21,4867.01,4.6875
346,Apple iPhone 17 Pro Max - 1 TB - Silver (Unlocked),iPhone 17 Pro Max,17,True,1024.0,1024GB,1024GB,False,New,Second-hand,498.0,$400-599,0.486328125,,,False,2.0,True,0.0,False,Seller 575,"Miami, Florida, United States",FL,,False,False,False,FL,Pro,Modern (14+),19,2710.0,8.176100628930817
347,Apple iPhone 16 128GB Unlocked,iPhone 16,16,False,128.0,128GB,128GB,False,Open Box,Like New,449.99,$400-599,3.515546875,,,False,3.0,True,5.0,True,Seller 394,"Ashland, Virginia, United States",VA,,False,False,False,VA,Standard,Modern (14+),3,639.5,7.207207207207207
348,Apple iPhone 16 512GB Pink - Unlocked AT&T T-Mobile Verizon 7630431,iPhone 16,16,False,512.0,512GB,512GB,False,Open Box,Like New,675.0,$600-899,1.318359375,899.99,25.0,True,0.0,False,0.0,False,Seller 184,"Orlando, Florida, United States",FL,,False,False,False,FL,Standard,Modern (14+),25,639.5,7.207207207207207
349,Apple iPhone 14 Factory Unlocked Purple 128GB (Scratches) #24297,iPhone 14,14,False,128.0,128GB,128GB,False,Used,Second-hand,259.99,$200-399,2.031171875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Modern (14+),27,1329.99,21.492537313432834
350,Apple iPhone 13 Factory Unlocked Black / Midnight 128GB #24291,iPhone 13,13,False,128.0,128GB,128GB,False,Used,Second-hand,239.99,$200-399,1.874921875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Mid-Gen (12-13),28,4935.0,20.909090909090907
351,Apple iPhone 17 Pro Max - 1 TB - Cosmic Orange (Unlocked),iPhone 17 Pro Max,17,True,1024.0,1024GB,1024GB,False,New,Second-hand,579.0,$400-599,0.5654296875,,,False,4.0,True,0.0,False,Seller 595,"Austin, Texas, United States",TX,,False,False,False,TX,Pro,Modern (14+),19,2710.0,8.176100628930817
352,Apple iPhone 17 Pro Max - 1 TB - Cosmic Orange (Unlocked),iPhone 17 Pro Max,17,True,1024.0,1024GB,1024GB,False,New,Second-hand,956.0,$900-1299,0.93359375,,,False,0.0,False,0.0,False,Seller 481,"Brownsville, Texas, United States",TX,,False,False,False,TX,Pro,Modern (14+),19,2710.0,8.176100628930817
353,Apple iPhone 12 Pro Max - 256GB - Pacific Blue (Unlocked) A2342 (CDMA + GSM),iPhone 12 Pro Max,12,True,256.0,256GB,256GB,False,Used,Second-hand,650.0,$600-899,2.5390625,,,False,0.0,False,0.0,False,Seller 675,"Brentwood, Maryland, United States",MD,,False,False,False,MD,Pro,Mid-Gen (12-13),1,4867.01,4.6875
354,iPhone 12 Unlocked,iPhone 12,12,False,,Tidak Diketahui,,False,Open Box,Like New,417.0,$400-599,,,,False,0.0,False,0.0,False,Seller 417,"Grandview, Missouri, United States",MO,,False,False,False,MO,Standard,Mid-Gen (12-13),1,4428.01,45.073891625615765
355,Lightly Used Purple Apple iPhone 12 50GB,iPhone 12,12,False,,Tidak Diketahui,50GB,True,Used,Second-hand,200.0,$200-399,,,,False,0.0,False,0.0,False,Seller 363,"Summer Shade, Kentucky, United States",KY,,False,False,False,KY,Standard,Mid-Gen (12-13),1,4428.01,45.073891625615765
356,Apple iPhone 13 - 256 GB - Blue (Unlocked) TikTok installed,iPhone 13,13,False,256.0,256GB,256GB,False,Used,Second-hand,800.0,$600-899,3.125,,,False,0.0,False,0.0,False,Seller 501,"Houston, Texas, United States",TX,,False,False,True,TX,Standard,Mid-Gen (12-13),141,4935.0,20.909090909090907
357,iPhone 13 With TikTok And CapCut,iPhone 13,13,False,,Tidak Diketahui,,False,Used,Second-hand,2750.0,$1300+,,,,False,0.0,False,0.0,False,Seller 471,"Arlington, Texas, United States",TX,,False,False,True,TX,Standard,Mid-Gen (12-13),141,4935.0,20.909090909090907
358,Apple iPhone 13 - 256 GB - White (Unlocked),iPhone 13,13,False,256.0,256GB,256GB,False,Used,Second-hand,5000.0,$1300+,19.53125,,,False,0.0,False,0.0,False,Seller 504,"Glen Burnie, Maryland, United States",MD,,False,False,False,MD,Standard,Mid-Gen (12-13),2,4935.0,20.909090909090907
359,iphone 13 With TikTok,iPhone 13,13,False,,Tidak Diketahui,,False,New,Second-hand,5000.0,$1300+,,,,False,0.0,False,0.0,False,Seller 617,"Indianapolis, Indiana, United States",IN,,False,False,True,IN,Standard,Mid-Gen (12-13),3,4935.0,20.909090909090907
360,TikTok iPhone 12 Pro Max,iPhone 12 Pro Max,12,True,,Tidak Diketahui,,False,Used,Second-hand,2000.0,$1300+,,,,False,0.0,False,0.0,False,Seller 568,"Carroll, Iowa, United States",IA,,False,False,True,IA,Pro,Mid-Gen (12-13),1,4867.01,4.6875
361,iPhone 13 With Tik Tok,iPhone 13,13,False,,Tidak Diketahui,,False,Open Box,Like New,2000.0,$1300+,,,,False,0.0,False,0.0,False,Seller 283,"Ludowici, Georgia, United States",GA,,False,False,False,GA,Standard,Mid-Gen (12-13),4,4935.0,20.909090909090907
362,Apple iPhone 12 Pro Max - 512 GB - Blue (Unlocked),iPhone 12 Pro Max,12,True,512.0,512GB,512GB,False,Used,Second-hand,365.0,$200-399,0.712890625,,,False,0.0,False,0.0,False,Seller 535,"Tempe, Arizona, United States",AZ,,False,False,False,AZ,Pro,Mid-Gen (12-13),2,4867.01,4.6875
363,Apple iPhone 13 128GB Unlocked - Fair Condition - 100% OEM - Several Colors,iPhone 13,13,False,128.0,128GB,128GB,False,Used,Second-hand,199.99,<$200,1.562421875,,,False,0.0,False,0.0,False,Seller 255,"Charleston, West Virginia, United States",VA,,False,False,False,VA,Standard,Mid-Gen (12-13),3,4935.0,20.909090909090907
364,"Apple iPhone 13 128GB, Black, Unlocked, iOS 26",iPhone 13,13,False,128.0,128GB,128GB,False,Used,Second-hand,240.0,$200-399,1.875,,,False,0.0,False,0.0,False,Seller 275,"Brooklyn, New York, United States",NY,,False,False,False,NY,Standard,Mid-Gen (12-13),27,4935.0,20.909090909090907
365,Apple iPhone 17 - 256 GB - White (Unlocked),iPhone 17,17,False,256.0,256GB,256GB,False,Open Box,Like New,789.0,$600-899,3.08203125,,,False,0.0,False,0.0,False,Seller 365,"Mooresville, North Carolina, United States",NC,,False,False,False,NC,Standard,Modern (14+),1,1000.99,7.857142857142857
366,Apple iPhone 14 Pro Max - 128 GB - Gold (Unlocked),iPhone 14 Pro Max,14,True,128.0,128GB,128GB,False,Open Box,Like New,584.23,$400-599,4.564296875,614.98,5.0,True,0.0,False,0.0,False,Seller 119,"Lexington, Kentucky, United States",KY,,False,False,False,KY,Pro,Modern (14+),1,2750.0,8.085106382978724
367,Apple iPhone 17 Pro Max - 1 TB - Cosmic Orange (Unlocked),iPhone 17 Pro Max,17,True,1024.0,1024GB,1024GB,False,New,Second-hand,599.99,$400-599,0.585927734375,,,False,4.0,True,0.0,False,Seller 402,"Dallas, Texas, United States",TX,,False,False,False,TX,Pro,Modern (14+),19,2710.0,8.176100628930817
368,Apple iPhone 17 Pro Max Cosmic Orange 256GB eSIM A3527 Smartphone (Sealed),iPhone 17 Pro Max,17,True,256.0,256GB,256GB,False,New,Second-hand,1007.0,$900-1299,3.93359375,,,False,0.0,False,0.0,False,Seller 308,"Austin, Texas, United States",TX,,False,False,False,TX,Pro,Modern (14+),19,2710.0,8.176100628930817
369,Have a new iPhone 17 ready to be activated with I Never Used ask for information,iPhone 17,17,False,,Tidak Diketahui,,False,New,Second-hand,1200.0,$900-1299,,,,False,0.0,False,0.0,False,Seller 588,"Irving, Texas, United States",TX,,False,False,False,TX,Standard,Modern (14+),23,1000.99,7.857142857142857
370,Apple iPhone 17 Pro Max - 256 GB - Cosmic Orange (Unlocked),iPhone 17 Pro Max,17,True,256.0,256GB,256GB,False,New,Second-hand,610.0,$600-899,2.3828125,,,False,0.0,False,0.0,False,Seller 499,"Los Gatos, California, United States",CA,,False,False,False,CA,Pro,Modern (14+),25,2710.0,8.176100628930817
371,Apple iPhone 17 Pro Max - 1 TB - Deep Blue (Unlocked),iPhone 17 Pro Max,17,True,1024.0,1024GB,1024GB,False,New,Second-hand,498.0,$400-599,0.486328125,,,False,2.0,True,0.0,False,Seller 606,"Hendersonville, North Carolina, United States",NC,,False,False,False,NC,Pro,Modern (14+),2,2710.0,8.176100628930817
